#,Country 1,Country 2,Country 3,State 1,State 2,State 3,Other,Current affiliation,Other,Policies and actions to advance water resource development and management are coordinated.,"Infrastructure such as dams, reservoirs, and treatment plants are centrally managed or coordinated.",Financial resources are mobilized to support water resource development and management needs.,Ecosystems conservation priorities are developed and actions implemented.,Please provide any additional comments here to support your answers on the topic of basin management.,"Quality and clarity of rules for allocating water among different sectors (e.g., municipal, industrial, agricultural)","Quality and clarity of rules for allocating water among administrative jurisdictions (e.g., cities, provinces, countries)",Quality and clarity of rules for groundwater abstraction,Quality and clarity of rules for wastewater handling and water pollution,Quality and clarity of rules for managing land use (including aquaculture) to safeguard water resources,Quality and clarity of rules for freshwater fisheries,Please provide any additional comments here to support your answers on the topic of rules for resource use.,"Environmental and social impact assessments for all major water projects, regardless of funding source, are carried out prior to decisions being taken",Existence of financial incentives for environmental stewardship,Existence of market-based exchange schemes,Existence of honorary recognition programs,Existence of land use zoning policy,Please provide any additional comments here to support your answers on the topic of incentives and regulations.,Number of staff (including local consultants) to fulfill necessary functions,Staff have sufficient expertise to fulfill necessary functions,Opportunities for professional training and certification,Please provide any additional comments here to support your answers on the topic of technical capacity.,Level of investment in water supply development,Level of investment in service delivery systems ,Level of investment in wastewater handling and treatment ,Level of investment in ecosystem conservation and rehabilitation,Level of investment in monitoring and enforcement,Please provide any additional comments here to support your answers on the topic of financial capacity.,Information is accessible to interested stakeholders,"Information meets expected quality standards, in terms of frequency, level of detail, and subjects of interest to stakeholders",Information is transparently sourced,"All available, sound and relevant information is routinely applied in decision-making",Please provide any additional comments here to support your answers on the topic of information.,All relevant stakeholders have been identified and notified when considering major decisions,Stakeholders are able to provide comments prior to major decisions being taken,Decisions are responsive to stakeholders’ participation,Please provide any additional comments here to support your answers on the topic of stakeholder engagement.,Surface water abstraction guidelines are enforced,Groundwater abstraction guidelines are enforced,Flow requirement guidelines are enforced,Water quality guidelines are enforced,Land use guidelines are enforced,Please provide any additional comments here to support your answers on the topic of enforcement and compliance.,Economically vulnerable populations benefit from ecosystem services,Indigenous people benefit from ecosystem services,Women and girls benefit from ecosystem services,Resource-dependent communities benefit from ecosystem services,Please provide any additional comments here to support your answers on the topic of benefits from ecosystem services.,"Frequency of conflict due to overlapping jurisdictions (e.g., between national governments in transboundary systems, provincial and national government, or between agencies)",Frequency of conflict about water rights allocation,Frequency of conflict about access,Frequency of conflict regarding the siting of infrastructure,Frequency of conflict over water quality and other downstream negative impacts,Please provide any additional comments here to support your answers on the topic of water-related conflict.,Overall standard of water quantity monitoring,Overall standard of water quality monitoring,Overall standard of biological and ecological monitoring,"Overall standard of monitoring access to, and use of, water",Please provide any additional comments here to support your answers on the topic of monitoring mechanisms.,A shared vision is established and used to set objectives and guide future development,The existence and use of strategic planning mechanisms,The existence and use of an adaptive management framework,Please provide any additional comments here to support your answers on the topic of comprehensive planning and adaptive management.
Mock 1,,Country 2,,State 1,State 2,State 3,,NGO,,3,2,4,1,,3,2,1,1,2,2,,2,3,3,1,,,1,3,4,,2,2,2,3,3,,3,3,3,3,,3,3,3,,3,1,2,2,2,,2,2,4,2,,1,3,3,2,4,,1,2,2,2,,4,4,3,
Mock 2,,,,,State 2,State 3,,National government,,2,4,4,3,,3,3,2,2,3,2,,4,3,2,2,3,,2,2,2,,3,3,3,3,3,,2,2,3,3,,4,4,3,,2,3,3,3,3,,2,2,2,2,,2,2,2,2,2,,2,2,2,2,,2,2,1,
Mock 3,,,Country 3,,,State 3,,Research/academia,,2,3,3,2,,4,3,3,3,3,3,,3,4,2,1,3,,2,2,3,,2,3,2,3,2,,2,2,3,2,,3,2,2,,1,2,3,3,2,,3,2,3,3,,3,4,2,2,2,,2,2,3,3,,2,2,2,
Mock 4,,,,,State 2,State 3,,,,2,2,3,3,,3,3,4,2,3,4,,3,2,2,4,4,,2,2,3,,3,2,2,3,2,,2,2,2,3,,3,3,4,,1,2,2,3,3,,3,3,3,2,,2,,,2,2,,2,3,2,2,,3,3,3,
Mock 5,,,Country 3,,,,,Research/academia,,3,3,4,3,,3,2,3,3,3,3,,4,3,2,2,2,,2,2,3,,2,2,2,2,3,,2,2,2,1,,2,2,2,,2,3,2,3,3,,2,3,3,3,,2,3,3,2,2,,2,2,1,2,,2,2,3,
Mock 6,Country 1,Country 2,Country 3,State 1,State 2,State 3,,National government,,5,4,4,4,,3,4,3,5,3,5,,4,3,3,3,3,,4,3,4,,3,3,3,4,4,,4,4,4,4,,5,3,4,,3,3,3,3,3,,4,4,4,4,,3,3,3,4,4,,4,4,4,4,,4,4,4,
Mock 7,,,Country 3,,,,,Research/academia,,5,3,3,4,,4,3,3,4,4,4,,4,4,3,4,4,,4,4,3,,3,3,3,2,2,,3,3,3,3,,3,2,2,,2,3,3,3,3,,4,4,4,4,,4,3,3,3,2,,2,3,2,4,,3,3,3,
Mock 8,Country 1,,,State 1,,,,Provincial government,,4,3,3,3,,4,3,3,3,4,3,,3,1,1,2,4,,4,4,2,,2,2,1,1,2,,3,3,2,2,,3,3,2,,2,1,1,2,3,,1,1,1,2,,2,2,3,2,2,,2,2,1,2,,2,3,2,
Mock 9,,,,,,,,National government,,2,2,3,2,,2,3,1,2,2,2,,2,3,3,2,3,,3,2,3,,3,2,2,3,3,,2,2,2,3,,3,2,2,,2,2,2,3,3,,2,2,3,3,,3,2,2,3,3,,3,3,3,2,,2,3,3,
Mock 10,Country 1,,,State 1,,,,Provincial government,,2,2,2,2,,2,2,1,3,3,3,,4,3,1,1,4,,,,,,3,2,2,2,,,2,2,,,,3,3,3,,1,1,2,2,2,,2,,,,,4,3,3,2,3,,3,2,2,2,,3,,,
